Start Date,End Date,Heart Rate,Source,Device
2024-09-05T10:36:25Z,2024-09-05T10:36:25Z,160,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:29Z,2024-09-05T10:36:29Z,160,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:34Z,2024-09-05T10:36:34Z,162,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:40Z,2024-09-05T10:36:40Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:54Z,2024-09-05T10:36:54Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:02Z,2024-09-05T10:37:02Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:06Z,2024-09-05T10:37:06Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:12Z,2024-09-05T10:37:12Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:15Z,2024-09-05T10:37:15Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:26Z,2024-09-05T10:37:26Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:33Z,2024-09-05T10:37:33Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:38Z,2024-09-05T10:37:38Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:39Z,2024-09-05T10:37:39Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:48Z,2024-09-05T10:37:48Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:52Z,2024-09-05T10:37:52Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:54Z,2024-09-05T10:37:54Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:37:59Z,2024-09-05T10:37:59Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:04Z,2024-09-05T10:38:04Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:10Z,2024-09-05T10:38:10Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:16Z,2024-09-05T10:38:16Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:20Z,2024-09-05T10:38:20Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:27Z,2024-09-05T10:38:27Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:30Z,2024-09-05T10:38:30Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:37Z,2024-09-05T10:38:37Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:42Z,2024-09-05T10:38:42Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:48Z,2024-09-05T10:38:48Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:49Z,2024-09-05T10:38:49Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:55Z,2024-09-05T10:38:55Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:38:59Z,2024-09-05T10:38:59Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:04Z,2024-09-05T10:39:04Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:09Z,2024-09-05T10:39:09Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:14Z,2024-09-05T10:39:14Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:22Z,2024-09-05T10:39:22Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:27Z,2024-09-05T10:39:27Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:33Z,2024-09-05T10:39:33Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:38Z,2024-09-05T10:39:38Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:43Z,2024-09-05T10:39:43Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:44Z,2024-09-05T10:39:44Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:53Z,2024-09-05T10:39:53Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:39:54Z,2024-09-05T10:39:54Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:03Z,2024-09-05T10:40:03Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:06Z,2024-09-05T10:40:06Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:09Z,2024-09-05T10:40:09Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:14Z,2024-09-05T10:40:14Z,162,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:23Z,2024-09-05T10:40:23Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:25Z,2024-09-05T10:40:25Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:30Z,2024-09-05T10:40:30Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:38Z,2024-09-05T10:40:38Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:43Z,2024-09-05T10:40:43Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:48Z,2024-09-05T10:40:48Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:49Z,2024-09-05T10:40:49Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:40:58Z,2024-09-05T10:40:58Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:03Z,2024-09-05T10:41:03Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:05Z,2024-09-05T10:41:05Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:09Z,2024-09-05T10:41:09Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:16Z,2024-09-05T10:41:16Z,163,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:19Z,2024-09-05T10:41:19Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:26Z,2024-09-05T10:41:26Z,163,马林康的Apple Watch,Apple Watch
